FacilityID,FIPS_1,POPULATION_2020
80551KDKCLCOUNT,08123002203,3340
21078CLLCR1354O,24025306200,2174
33186NLSDC12331,12086019402,5562
10509LMTHR391RT,36079011802,4259
03038LLNBR3MANC,33015003302,4856
24210SMLST1743L,51191010101,3492
29690TSBRSRT4OL,45045003906,2535
75220MSSYS2861C,48113009803,2051
56007SCTSM505FR,27047180800,2452
48218DTRTD1BELA,26163985600,0
48040DTRTD301GR,26147637300,2236
48441DTRTD755NH,,
46131KYBND2525N,18081610802,7591
48183DTRTD4695W,26163982301,25
44145MRCNM1000C,39035189110,4523
71301DRWDT1KOPP,22079012800,884
18944PSGCN1225T,42017102401,4061
08701MYNTL995TO,34029715800,12984
95119JBLCR3GREA,06085512032,3487
48150LVNNG12200,26163558301,1906
30752HDSNNUSHWY,13083040103,2609
46899NVRSL8710I,18003011502,2663
75038MNTRP3041S,48113014158,3090
60131SLNVL10500,17031811701,3455
30568BRLNGROUTE,13241970102,1252
03051FLXTC4INDU,33011012301,5392
18707MDSTLELMWO,42079215502,5722
77541TXSBR4115E,48039664400,5610
28110YLSCRHWY74,37179020601,5064
18044SHLNDRD4IS,42095018100,6954
42629NNNDRPOBOX,21207960300,3975
18046DYTMR1WILL,42077006305,6915
74402CMNGN1820N,40101000700,4599
60450NTRST3727N,17063000200,6864
16335DCTLH114PP,42039111600,3735
75602GLLSP211GU,48183001100,3563
47802WSTRN2525P,18167001900,1711
77536RHMND6600L,48201343601,11
77043MTSBS211WS,48201543201,5709
39358KMPRPBOX10,28069030100,4875
53126NCNCX3725N,55101001601,6193
37127NVRCN39MUR,47149041202,4967
06484NCNGN217LN,09001110202,5078
55987TRWTM5731I,27169670200,3224
56470TMNDS51IND,27057070600,3886
01432SHNKL100WE,25017325101,4010
72081MRCNB1211N,05145070502,2580
92780BLBNS1382B,06059075517,6809
40216LFTCH4350C,21111012701,4284
98225GBNTR3116M,53073000201,4273
99619SCSTGCOAST,02150000500,1673
53589ZLKJS400IN,55025012201,1945
76513MRCNS2505T,48027021501,3940
08865SPRRQ44CUN,34041032200,8776
80301SPCTR5755C,08013012707,2070
78156STRCTPOBOX,48187210513,1583
22630TRYPL500TO,51187020200,3865
43113PPGNDPITTS,39129021700,4763
81506SNDST2800S,08077001600,3997
47150PRDCT273MC,18043070902,1723
64801THRML272W9,29097010901,2882
46628HLDXG444NI,18141011001,2690
29801HBBLL2200R,45003021300,4908
77592TXSCTLOOP1,48167726200,2674
53718RTSYN831EX,55025010905,5288
50704JHNDR400WE,19013000400,1590
13057NDSTR621EM,36067014400,2428
43612LHNFN4934L,39095000400,3720
40356DNLDS200ET,21113060104,4976
54002DNLDS500EV,55109120802,5150
48439VMCNC10230,26049011102,6016
49093JHNSN85WDS,26149040400,2236
15904DRSLR246AI,42021010700,3122
03878DWTYP366RT,33017083002,5105
42303HNTRD16RAG,21059000402,2247
41018BRCRP1346J,21015070311,2711
01440KTBNC79WIL,25027707300,4056
17402FNCRL3750E,42133010131,3512
98223GBNTR17315,53061053509,4164
50704JHNDR3500E,19013002700,3826
47591SSXGRESSEX,18083955900,5422
68601RNCRP33E8T,31141965500,5701
43612FLWFR163CI,39095005704,2950
15014LLGHNRIVER,42003401200,2911
75243TXSNS13500,48113019040,6968
16505THRCR3120W,42049010800,3531
15025SSCLR400ST,42003492700,1819
06473NRTHS291ST,09009167101,3847
64850TLDYN3552D,29145020800,6608
73116CDMNF21NW6,40109106200,1462
97222MRKND4909S,41005021500,5196
19382WYTHY611EN,42029302706,4825
97321WLLMT3251O,41043020101,6162
90262CRGLL2801L,06037540501,6411
71832WYRHSPOBOX,05133080200,4013
9852WPCFCV1NRTH,,
49738WYRHS4111E,26039960500,2020
74764WYRHSHIGHW,40089098400,3935
77015DCNCX16661,48201252500,5051
46312SSSTC101E1,18089030400,2844
45356HRTZLONEPR,39109315002,4403
80403SPCLP15W44,08059009852,4524
70807XXNCH12480,22033004203,3302
27894STNDR221MI,37195000802,3383
29335NTNLSHIGHW,45083023700,4304
62665NTNLSRR1XX,17137951400,2400
29340CLLWD100CE,45021970502,4532
29673DRVTM12MNA,45045003303,5732
61080TRNWY9EAST,17201004004,5870
61080TRNWY208CH,17201004004,5870
17318TRNWYCHURC,42133021100,4970
17318TRNWYONECO,42133021100,4970
68802HRNDY3625O,31079000600,6454
25701BKNGN3THIR,54011000900,1509
80524NHSRB2351B,08069001308,6098
97502LLPHS549TA,41029001301,5163
27894STNDR65STA,37195000200,1080
15339RTCHY3GERG,42125741300,3857
90501THRBN2815H,06037650901,5976
46706TWRTM801W1,18033020500,5987
60409SHLND142ND,17031825801,3569
61554PRXRN1225S,17179020900,1934
42718NGRSL11IND,21217920502,4199
28387NGRSL1725U,37125950801,6049
77303HMPLC600CO,48339693901,4169
60623MGMCP2324S,17031843400,1524
48043DPNTM400GR,26099245200,2301
23692YRKTW1600W,51199050401,3652
97601JLDWN3250L,41035972000,4651
98952JLDWNCORNE,53077940003,3553
90040DVDHF6009B,06037532304,3660
61843FLCNS103NO,17019010500,4593
52556THDXT2211W,19101090302,2972
44706THTMK1835D,39151713202,2028
21801CCDNTRT11B,24045010101,7349
07036XXNXX1400P,34039035400,2892
19565DMXTRFURNA,42011010601,2776
53186HLMNF1231T,55133202800,3827
25438KDDFR2EXEC,54037972401,2718
07419CCRTFRTE94,34037372700,3266
02254STNDR152GR,25017368800,6169
47229SNDRV11IND,18071968300,3402
56215TYLRLEASTH,27151960300,1623
55428LDYNP552NH,27053021502,3965
22701THRCH751OL,51047930300,7819
28787BLCRN1BALC,37021002702,4633
70765NSXDX21255,22047952702,3091
70765THDWCHIGHW,22047952702,3091
13126LCNRLLAKER,36075021504,2635
98032ZMNMG22446,53033029206,4582
97124ZMNMG235NE,41067032610,2879
44446SCLMN643HE,39155932600,3403
44420SCXXX706SS,39155933900,1859
35125THFRD3929M,01115040211,3072
60160DSLRD1985J,17031811301,4802
43123TGRPL6231E,39049009751,6537
84070BLLFR9479S,49035112621,5540
30680LKRLCINDUS,13013180107,4312
60411STFFR11THA,17031829000,882
85019CLMBS4430N,04013109200,4338
53925CLMBSN4335,55027961800,4471
92335CLFRN14000,06071002204,6141
46903PPGND1500E,18067001200,3598
56501TMNDS1551R,27005450500,4813
29301GFCHMSIMSC,45083020702,2056
29415LBRGH2151K,45019004400,2240
77520STFFR3439P,48201254800,2705
77012STFFR8615M,48201311400,1546
72853DLTCTHWY1E,05149952500,4060
23181CHSPK19THM,51101950300,3509
71770DLTCT172HW,05027950200,4110
61821LLYNG17WWA,17019001000,4366
29625PLSTC5100O,45007011100,2658
31793TFTNLSOUTH,13277960900,3554
11101GLLCT4531C,36081001901,1434
44255SYNFL10585,39133600200,5577
71611CNTRYEMMET,05069002500,934
91702RCHHL237SO,06037404402,5042
80223RJRCR183SB,08031001403,3374
43840THSTNNORTH,39157021400,2494
23804BRNCNPETER,51730811200,4749
56401MCMNF1892S,27035950901,2998
80020HNTRDNEDUE,08014031202,2762
35124MRNCT110CO,01117030315,5610
16056VNCXX375SA,42019911502,4333
87301GNTRFROUTE,35031943602,2883
44601TWFRG562WE,39151710200,4179
60638WRGRC6051W,17031820901,5582
77572LRLND780SO,48201343700,3860
21055MLCPL9800R,24005403704,4578
95231MNRNC9508S,06077003803,5968
71937LWSLMLEWIS,05113950500,1948
55901PMSTR3535T,27109001401,4654
58329TRTLM1STST,38079951700,4121
55318PMSTR426NR,27019090902,2044
23150RNTRN5901L,51087980100,0
28150CPLND4401E,37045950701,3659
79915LMRDT6966M,48141003501,2658
48212FTZGR17450,26163506300,1860
72701SPRRN1901C,05143011107,4952
25143CTLYS1580F,54039010400,1509
83841RLYCRRILEY,16017950500,3439
18960NRTHP40WES,42017102500,4711
87413BLMFLNO50C,35045000702,913
72756SPRRN1301N,05007020301,4305
37601SPRRN655WO,47179061200,3499
66762SPRRN1500E,20037957000,3459
43004DNCRP6635T,39049007303,6632
91406SPRRN7800W,06037980008,465
19605GNRLBSPRIN,42011012800,4277
06010LBSCR7EMME,09003405402,4257
30014NSSHN14381,13217100101,6112
39577DSTTR941SM,28131020100,3703
70634WSTVCPOBOX,22011960400,3066
60123PLSTC1330H,17089850600,7443
77541THDWCBUILD,48039664200,2222
97737CRWNPNO1SA,41035970100,3301
73036GMNLC101SW,40017300600,3385
95482GRGPC2163N,06045011300,6010
77530LYNDL8280S,48201252602,3721
38012HYWDC751DU,47075930302,2744
17801THCLT1400S,42097082000,3715
60007VDJTS1855E,17031770500,4632
19428FNNRN901WA,42091203106,2384
46515SCLMN23841,18039001801,4297
01886MCKTC27CAR,25017318400,4669
57350TLLCT601AR,46005956800,1867
21502SWRRR11600,24001000200,4097
37813JFFRY2307M,47063100800,3251
75234MGLBR13515,48113014002,1985
95201CLFRN1340W,06077000802,2030
95334FSTRF843DA,06047000301,5003
02465RCHLL55BRD,25017374600,5285
64804FGBRN3900R,29145020501,4186
37419BRNRS3600C,47065012100,6066
75006SSLRL175MN,48113014002,1985
58075MNNDK7525R,38077970900,4264
36460RCKYCCUNTY,01099075901,3170
07601DVNCF344LD,34003023402,6099
49862KMBRL601EM,26003000100,3322
77536CCDNT1000T,48201343601,11
56511TMNDSFRTHR,27005450800,2527
56003CRLSN1750T,27103480501,7013
46368CHRMD6640M,18127050407,3541
03055KRKMT69MEA,33011016202,5471
36081SNDRSHENDE,01109189003,3946
53094TNCRP901SO,55055100100,5396
98005PRNTD13221,53033023401,4206
95677FRMCC3500C,06061021328,8556
70070CCDNT12501,22089062900,2561
06801VTTCR7TRWB,09001200100,4039
74066HNRYV2110N,40037021202,3829
91761DNHMB4850E,06071012700,4000
32092NNSPN355AG,12109021004,2991
45417NLNDD2701H,39113004200,1996
70737SHLLCRIVER,22005030302,5614
55060SPXCR655EI,27147960400,4351
55060SPXSR23PAR,27147960400,4351
29442NTRNTKAMIN,45043920602,2067
49423BHNLM365W2,26139025700,5971
06787QLTYR135SO,09005349200,2650
55303LTRNN6700I,27003050228,6767
92121SFFLT4116S,06073008346,4831
54889HRTZL300IN,55005000300,4182
02210DVNCD12CHA,25025060603,1502
15370KYWFM317ER,42059970502,3622
47630LMNMCHIGHW,18173030501,3747
07055PSSCN41BRO,34031175701,5791
95356PCFCL4555N,06099000506,4607
91748NDLXW18111,06037980035,623
12543SRMSY21CHA,36071010801,3979
60120HNKLD1345G,17031804514,4690
52405HGHWY616DA,19113002300,4301
67213BGPRD701SW,20173002600,1275
12118PLYSTUPPER,36091062001,4700
95206SNLCT199FR,06077003803,5968
01510PLYMR179WO,25027716102,4807
77506SDPWT701LI,48201324200,1279
48551GMCTRG3100,26049980000,19
63385BCGRP1500E,29183312095,6470
48103TRMCR62JAC,26161455000,5072
03801RVNGL5PREB,33015069300,2202
84104SNDST1291S,49035114500,7487
20151WRLDW4260E,51059490105,2761
80525DVNCD4424I,08069001008,1871
68520PRKRH252N1,31109010100,7176
29323WTTSC815PI,45021970101,3514
08057GRSPCBORTO,34005700505,6672
32955RNCLC595IN,12009063104,3876
92301PVMRK9925Y,06071009133,8582
