FacilityNumber_receiving,FIPS_1,POPULATION_2020
5524,,
10269,18089020800,4272
15236,47065001900,4329
38079,45075010200,4730
19604,37119004200,3300
28848,48201254800,2705
37907,05149952500,4060
22684,51101950300,3509
6208,17039971700,3271
9005,13277960301,4919
29089,36059304202,3593
12780,34003023602,5337
25384,34039031200,6712
32796,36047057901,1416
1000704,39035135105,5507
25958,08031001901,3903
7796,08005007109,2355
22597,39157020700,6285
6804,01095030902,4887
37402,51041100822,6011
15392,27021960600,3123
2817,08123002009,5954
29416,42019911800,7628
1200677,22089062400,1262
25661,39035154601,5126
8853,04017960500,3618
7832,17105960800,5554
24329,48157671800,3565
8389,27139080304,7231
4503,48201240102,1835
38727,,
29480,42047951000,4942
8450,34011040901,2837
18441,37045950603,3081
32269,48141002900,1406
9323,26163524600,1401
18056,05143010501,6666
21780,29510109600,2496
37061,54039010400,1509
25496,16017950203,4386
18629,48201211700,3732
26368,20037956900,4161
6375,20021958100,2597
23848,39049002600,3920
26333,06037536202,3949
6462,06037800328,1291
14028,13089023444,2270
7917,55025012004,2676
11808,41035970100,3301
18874,06001451104,7028
24009,48201252602,3721
17522,47075930400,4206
3089,42081011702,3301
32846,48201332700,2473
29305,42091209201,1584
6637,37091950402,3792
12176,29189215001,2840
23435,46005956800,1867
32953,24023000300,2486
27083,24001001600,1618
1207909,24001002100,3055
7843,47073050900,2836
13706,47073050501,4098
6935,48121021619,3182
34713,06037601401,5012
23747,06001444601,6083
27202,24025303201,5937
24607,48113004300,5459
14973,47065002000,2229
29944,38081974000,1513
26095,01053969900,4399
7548,26109960500,2917
8118,48201343601,11
16307,27005450500,4813
21909,17031242900,1962
2268,27053104002,4309
1002633,06067008706,1998
18403,22005030302,5614
27199,42045409200,4194
23496,09001070300,1359
34151,06037541603,2748
6750,12109020606,11501
5155,27147960400,4351
7934,45043920702,3405
1004526,26139024902,2986
27082,21101020902,3298
11715,06037980034,110
27425,25021419700,4716
12914,18173030501,3747
12607,05019953901,1831
18601,34013004802,4113
23603,21185030501,4493
27233,42069112500,6294
10067,19113000101,6372
24025,19113000400,5351
22228,36001002600,5179
21348,06085505007,3760
4450,25027736100,2688
34000,05051010501,4299
38766,39093070500,2852
34412,26163554900,3352
36380,26155030100,5694
12954,26049002800,2381
1000976,42003560500,2193
38309,26023951600,3717
2151,29163460500,2068
1002488,17021958200,3593
12787,23005003300,3270
15755,49035100100,2987
31572,18097354201,4538
4732,08069001304,2838
8491,31141965500,5701
32332,26067030200,2847
34890,37161960600,4109
10041,06071012101,5985
1200088,01081041801,2618
4190,12069030406,4727
4554,12019031400,5955
-1,,
32555,25009210500,6946
23474,13135050328,2986
14615,39049009497,2000
1315,51770002900,5511
1928,12095017901,4403
5614,01127021700,4490
1207944,42101037900,5313
13506,42101038100,753
11705,42075003000,5864
1391,01079979100,1523
28581,44007013002,7794
31703,18003001300,1972
17514,33015057000,4641
37641,48139061700,5121
10179,10003011700,4260
13870,54107010901,4703
6759,54107000901,1381
38008,51059422202,6444
19498,39171950400,4578
28911,48113020900,2751
15588,42017100302,5053
12553,25027737300,6690
12854,01073000400,2912
39266,29077005100,4000
36629,25021456301,2017
35429,25017333601,1550
36806,40019892900,2164
34527,,
6295,39061007300,1916
30389,36055015000,5586
35330,,
1964,47129110400,3936
34470,36059303700,6743
14774,36063021700,3358
33683,40027202501,4666
12556,26117970501,4631
12493,51171040700,4204
36780,51171040700,4204
15567,55079180500,4493
7855,39035127501,2743
30701,22055001908,4091
24266,41051009502,4271
4575,42025020202,3090
23533,51031020500,7065
34618,35045000504,1964
22907,53033032104,6294
18081,47003950401,6422
13149,54005958501,2666
26996,47179061404,3316
3976,01033020705,1388
35269,47097050200,3426
10777,19013001702,2516
27694,19083480500,2814
27735,40037021202,3829
31146,48029161802,9710
5054,53033009200,3374
37892,47157022220,3418
1200486,17163502100,2246
15491,06013378000,3892
29837,06023010300,3496
19818,06037980011,140
24364,,
26793,53063014500,2770
1004907,42063961000,2223
29020,34031154006,4328
9450,34013007501,4200
24505,26081002600,4047
35011,45007010406,3211
20617,10003015502,2686
15028,10001041300,2059
38386,48245006400,1843
39241,42129808100,4049
32040,47119011004,4064
32128,40145030798,3059
20011,48201320602,4460
32036,20001952900,2230
18772,37081014501,1225
17137,37009970802,2783
4908,29023950102,1872
23676,42071011802,6132
3785,42071000600,3248
17677,18043070400,2828
38919,17095000200,2985
10000,45015020601,4792
28583,19015020500,5075
7692,42101037800,2389
19241,42021010700,3122
1000195,42129803000,4725
35366,42063961300,3766
8236,01075030101,3340
21105,42067070102,3706
21041,25005650300,3461
20557,27053104001,2756
1212,25009253201,3154
3603,25005631600,4044
1000741,25005642500,4744
22699,25025160102,3823
35576,17103000600,3425
35584,06037541003,4863
32388,47131965800,1652
1200652,21083020200,4391
29870,19177950200,3277
22429,29510109600,2496
36859,39007000300,2093
9976,39007000802,4912
24909,39035195700,4566
31127,22043020200,2930
32400,26101000700,4006
3192,01125010305,4079
35604,01125010500,2198
6256,04013941100,43
37091,47031970803,2880
8323,26103000600,2492
34761,01109189003,3946
21791,47159975100,2974
1010,55009000900,4008
10869,55009021303,3776
7853,55009000800,1653
27748,23031025100,3933
13607,06037541003,4863
31681,,
16742,,
37492,18017951800,3641
8524,26041970500,4401
24591,26163983200,0
1410560,17031770800,5661
28258,21111010314,6474
35138,18083955300,2906
27606,26163573501,5119
1205721,18085962500,2717
31694,39137030301,3592
23055,39101000501,2644
3257,39175938000,4222
38841,17031840400,3369
34399,21077960104,3841
27779,39049002510,3144
19269,29099700801,5795
27454,48113014152,3369
7644,18111100500,3215
28109,18089030600,4811
4180,29047022200,4110
26269,51760061002,4063
26355,51760030100,2500
32028,09009352300,3106
37669,13131950402,5139
27594,42011012400,7853
25007,48355006300,2654
31154,21083020100,4050
29407,39049002510,3144
38100,39049008241,2559
19235,20209044702,4717
36449,25017333602,7049
4,39029951700,4776
25352,29189215201,6657
33036,01103000100,4185
27958,28057950300,3949
9495,10003001902,2113
12359,17119403101,6944
32762,42031160500,3715
26025,42033330500,4312
26932,47037015613,5270
1002017,42003401100,4601
10113,39033974700,3913
11730,42095010500,4217
16158,39175938400,3191
28337,39133600401,6887
22968,39035107000,1658
33353,40013796300,1836
38158,48183010700,4569
6124,48201232600,2892
2588,48439100202,5428
17397,48439110301,3828
11246,06029003304,3732
23413,48201250304,9244
972,48351950400,2867
4805,17161020400,5967
32969,17031813302,3858
29309,18085961700,4597
36182,31109000700,2498
9107,31167962100,1445
1518,31053963800,5298
34518,31053963600,4738
15054,31177050300,4433
3144,41051007202,3727
25563,34023001003,5784
37637,55039040700,5522
1305,12105012409,2570
1705,12069030601,5517
20362,48245011205,2396
20075,27053104100,3245
30774,42017980000,0
24340,42017105805,5650
17382,54039012800,4198
32997,37031970703,5068
33210,39035105602,1998
3724,49005000301,2312
4490,45029970601,4508
17148,34005702906,2223
17348,18085962300,5576
13641,39049006238,1892
38993,18169102400,3245
19406,06037532303,4364
13830,54061011300,4133
21782,54077963900,4063
34696,54049021500,3359
19659,54061010902,3323
26643,54049021002,2124
18123,54097966600,4443
7797,,
15108,34003005000,6372
33463,36047044901,2694
27771,34015500204,6374
7811,48361020300,2559
28485,36113070500,2554
17771,08031015600,6618
979,42003565200,2740
30410,39035127501,2743
1001947,42091201902,5833
32111,21007950200,1420
17760,26121003100,5046
10898,36001013300,4397
22152,39035179101,3816
25215,26059050500,4361
1572,18105001401,1977
5535,18105000602,3134
19302,18097370204,4035
15276,18097356400,3746
1005037,48201311400,1546
1000611,45073030801,3211
38203,13295020301,5148
18014,26099264000,1969
32011,48375014300,6427
4078,48381021708,5350
28748,48375014401,7773
24971,26111290600,2366
19840,48437950300,4037
29544,18097360302,2706
683,18163010205,3459
26062,06037620002,3629
8780,42133023601,3732
810,24027603001,6883
1004027,26163524500,83
1204225,47131965200,2082
32587,29155470400,2758
28733,21059000500,1938
38344,21059000402,2247
3131,36065980002,12
14992,39153503100,1530
1201495,42011012400,7853
1408928,42101018300,4326
38149,34017007300,4946
12129,18081610204,5385
35805,41051005902,4168
20783,42101038100,753
9162,48113018501,3985
16533,36001002600,5179
891,34005701402,2375
12927,26021011400,2324
9464,17031838800,3102
32536,18091041500,4907
4188,,
33770,04007000800,1099
24756,21015070604,3454
16331,17019000800,6052
25435,38077971000,3836
7338,41005022301,4953
26683,41051004300,1176
11032,06029000507,3757
9361,06013320001,3626
8626,48039664200,2222
1005523,04012940300,3622
23793,17163501100,1216
37300,39061027000,2649
21368,29189216401,2762
36647,31055007445,2491
17119,24510250500,5142
15948,49011125600,239
33900,55031021100,2139
3517,42019910600,4142
25875,32031003111,2357
6126,32029970200,4104
8728,17135957800,3217
39042,17119401500,2440
10412,06099003100,3843
21257,06099002302,3991
22965,41071030601,3777
15621,41051004104,3080
27915,44007012401,7283
26830,28075010601,3537
8637,27123036000,2781
8391,27163070703,3282
7877,27141030506,4969
20678,39103408201,4534
1004017,39139002700,5583
34089,32019960103,1722
10651,49035115211,7033
31347,49035113312,3859
19015,28025950400,4131
5493,28105950101,5875
38458,54067950600,4834
14535,53065950102,3153
18411,30063000100,6262
16681,06085512402,5136
14770,25027756101,4538
32888,25005631101,3146
9205,44007012801,5244
33315,37025040600,6238
34446,25021421100,5410
28973,08001015000,3112
9870,12057012600,5697
16354,12119910702,3109
22807,12083001700,5156
13849,53005010500,3154
28321,06085505006,11912
270,55141011700,4537
30892,29031881400,2429
28129,05007020201,4999
12434,55035000301,3883
25730,27053125500,3707
16011,55129950502,2292
32337,38017000601,2336
12504,51161031102,3485
17191,51023040304,3908
26659,29510126700,1074
36026,55089640201,2460
23950,08123002009,5954
13507,39095010100,3985
27250,06037532303,4364
36125,26163505800,3337
2837,27141030407,4366
15405,27037060717,2408
13429,39117965000,4270
30254,29095016100,1906
23032,27037060725,4314
28471,27123041302,4232
6920,27037061003,2674
34271,45079011701,3993
30442,53033011200,3736
32333,55097960701,5502
2522,55085971001,1320
24029,09009171500,3634
19106,27053026912,8711
15131,34003003402,3897
35660,05119003604,6397
4570,39017014600,1178
13277,26139023200,2565
21372,26081014811,4034
22461,36007012600,5481
28707,24043010901,6495
9035,42001031502,3949
26388,17029000400,2629
3256,04013723304,6439
29723,48113021100,4087
26307,39151713401,5155
5033,37155960402,3342
3980,17031811701,3455
7712,39123050900,5359
28582,18141002300,1406
37062,39153532502,3195
27989,39139002900,4356
28332,53071920100,5077
29885,17031813701,3886
25353,06013307202,4355
28298,26163505100,2888
22372,47065002500,4832
29900,,
17111,13117130101,4403
29827,12099000408,3525
33000,09015906100,5045
39066,40143006600,2694
17776,42011011703,4288
22103,13243790200,4846
22312,18123952300,3371
24956,17089853200,6044
6665,06059088101,2252
24820,25027756102,8777
23714,48201540102,5296
2884,41067032502,2851
22744,06037206051,2591
29602,41053020204,5010
34438,41051007202,3727
25793,06037239202,5013
30234,47125101600,5704
21075,39031961200,3052
29246,21183920600,2018
33233,39099813000,4117
19743,26163585500,1822
7154,39173022500,4287
29702,34013007501,4200
22508,48201252500,5051
31362,31185969900,2527
30449,37019020101,2698
10148,47037010501,5593
14760,55133202400,5018
31023,41009970700,4204
654,22089062500,2970
15118,20125951400,2066
32617,20001953000,2683
30565,20125950700,3699
